iter	Logloss
257	0.3049713991
258	0.3048840671
259	0.3047658057
260	0.3046681437
261	0.3046249058
262	0.3045223496
263	0.3044109645
264	0.3043516192
265	0.3042336525
266	0.3041260898
267	0.3040392833
268	0.3039207554
269	0.3038406366
270	0.3037481637
271	0.3036252892
272	0.3035381189
273	0.3034079375
274	0.303330124
275	0.3032202819
276	0.3031422587
277	0.3030313953
278	0.3029303994
279	0.3028199283
280	0.3027302393
281	0.3026654705
282	0.3025839715
283	0.3024807628
284	0.3023819871
285	0.3022685842
286	0.3021737406
287	0.3020929311
288	0.3019877958
289	0.3019056763
290	0.301777799
291	0.3016672601
292	0.3015549548
293	0.3014742502
294	0.3013584827
295	0.3012911891
296	0.3011821771
297	0.301074237
298	0.3009962705
299	0.3008749686
300	0.300769657
301	0.3006597853
302	0.3005564471
303	0.3004617664
304	0.3003357836
305	0.3002514342
306	0.3001824421
307	0.3001200835
308	0.3000502996
309	0.2999018141
310	0.2998262923
311	0.2997244503
312	0.2996534749
313	0.2995570748
314	0.2994598926
315	0.2993696165
316	0.2992782722
317	0.2991627687
318	0.2990467508
319	0.2989337882
320	0.2988282829
321	0.2987493679
322	0.2986721735
323	0.2986397565
324	0.2985846455
325	0.2985177367
326	0.2984269142
327	0.2983377617
328	0.2982506197
329	0.2981397601
330	0.2980159987
331	0.2979097324
332	0.2977851607
333	0.2977250407
334	0.2976587475
335	0.2975577244
336	0.2974242695
337	0.2973155351
338	0.2972656292
339	0.2971660567
340	0.2970630232
341	0.2969868538
342	0.296908854
343	0.2968382931
344	0.2967504135
345	0.296680764
346	0.2966074834
347	0.2964880292
348	0.2964027558
349	0.296327609
350	0.2962352582
351	0.2961594761
352	0.2960780647
353	0.2960213219
354	0.295937134
355	0.2958569078
356	0.2957554247
357	0.2956615285
358	0.2955675138
359	0.295479744
360	0.2954031985
361	0.2953189711
362	0.2952581148
363	0.2951501734
364	0.2950457486
365	0.2949910964
366	0.2949022585
367	0.2948402156
368	0.2947898077
369	0.2947565988
370	0.2946592625
371	0.2945829451
372	0.2944831222
373	0.2944101018
374	0.2943400712
375	0.2942527381
376	0.2941241626
377	0.2940366025
378	0.2939605429
379	0.293890891
380	0.2938431066
381	0.2937487133
382	0.2936500042
383	0.2935883326
384	0.2934839287
385	0.2933585577
386	0.2932600472
387	0.2931905593
388	0.2931011219
389	0.2930044196
390	0.292940201
391	0.2928743086
392	0.2927559349
